#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
108.488432,955,89.492944
216.851728,598,89.65262
-40.005414,1000,89.926945
178.861337,736,90.152319
-20.091158,1000,90.446879
221.353167,541,90.599753
-24.290132,1000,90.876121
218.156682,528,91.020109
272.118211,406,91.17476
-20.695333,1000,91.471392
-44.413094,612,91.644207
168.093247,686,91.833366
277.021506,440,91.959774
228.714933,509,92.09977
146.495294,821,92.331441
148.667154,836,92.576839
190.535846,718,92.771779
264.825611,466,92.904835
126.562974,924,93.170548
244.394878,457,93.298678
294.440324,379,93.403185
229.420755,839,93.646343
111.060543,963,93.916093
198.186569,654,94.105425
177.293684,669,94.289598
150.778165,882,94.577418
222.09705,471,94.718011
200.113843,726,94.918681
214.06907,672,95.107369
-1.529319,211,95.166963
245.865946,467,95.300736
218.346086,459,95.440296
193.184575,449,95.572083
-31.13582,364,95.669857
-18.330885,280,95.745386
173.779584,629,95.917716
-46.164754,424,96.035128
180.611612,857,96.272404
217.326172,650,96.470167
-12.430442,1000,96.748523
-76.811824,1000,97.027334
201.639169,545,97.185101
-77.426027,636,97.373809
136.359449,807,97.607225
-31.393491,365,97.721737
163.632107,743,97.92449
168.06214,908,98.183471
21.802952,210,98.244763
194.155942,560,98.427791
172.047224,606,98.597919
211.226057,550,98.752274
134.938362,803,99.016889
18.322955,201,99.076663
194.988553,735,99.279757
228.300366,464,99.441304
-19.144329,179,99.492265
205.521347,641,99.671153
-49.469099,274,99.751134
-19.735104,244,99.8287
-34.552158,352,99.933301
132.11355,686,100.137124
257.891244,428,100.269718
259.94855,798,100.542646
21.497243,215,100.600379
-18.917321,286,100.684619
159.905826,720,100.889258
-9.150944,206,100.954969
-34.499603,338,101.057137
223.139729,303,101.139978
7.352841,198,101.193384
-140.625191,529,101.34785
-62.755344,177,101.405802
219.144729,474,101.552437
290.484577,554,101.71645
-25.737833,296,101.803598
-61.773464,180,101.860484
163.69078,552,102.019794
-20.838295,302,102.103207
-24.584468,416,102.218898
-30.092277,191,102.272541
-58.345765,335,102.367633
210.640462,681,102.581521
197.286442,555,102.743272
188.480011,843,102.998885
196.390347,656,103.197706
293.411964,430,103.320534
127.267512,834,103.559072
-18.176155,219,103.617934
-11.176164,228,103.680439
-17.106013,389,103.796647
5.430415,184,103.848514
235.754679,308,103.935939
214.986035,571,104.114241
-64.060562,1000,104.424653
222.702795,717,104.637525
-52.334452,1000,104.917215
-95.802674,1000,105.215401
209.089104,541,105.364995
-67.106924,619,105.55338
-3.808952,272,105.6281
-7.199693,206,105.685616
186.910403,420,105.804565
-68.58121,1000,106.087281
-57.956272,402,106.207795
-205.674659,723,106.4414
-127.896344,498,106.579296
231.595352,507,106.739138
243.270309,610,106.922071
-110.950916,401,107.030784
-213.146304,707,107.240737
-4.497029,320,107.334297
-136.992406,1000,107.642202
181.55642,868,107.893135
-58.249656,205,107.951853
219.681132,520,108.103982
228.525218,603,108.284827
-29.988147,180,108.339791
204.012814,525,108.508249
-186.514834,804,108.744037
204.281233,676,108.934526
-183.228193,868,109.190789
-19.656822,209,109.259845
224.973592,581,109.440935
-111.848362,331,109.54074
-61.734471,413,109.658334
-71.483092,184,109.708906
194.002602,442,109.845527
-90.187092,1000,110.199247
196.932834,529,110.361244
-116.389983,187,110.421609
-220.019467,690,110.615852
-146.756025,433,110.733248
-140.242792,411,110.843994
-147.407662,392,110.949777
-152.426099,674,111.135961
11.470522,173,111.183503
-109.681041,294,111.26304
-213.412285,887,111.507843
-123.080862,289,111.660412
-34.985791,196,111.713337
-110.621852,1000,111.994981
138.249554,886,112.25102
-20.483268,180,112.306145
-105.709889,138,112.346777
-218.497245,883,112.611495
283.9554,272,112.68793
264.848847,344,112.799585
30.757522,232,112.867423
-141.361868,584,113.037946
31.793625,201,113.099435
-156.345251,493,113.249364
218.794432,691,113.470483
-141.964205,598,113.635652
-193.173044,680,113.839465
27.476328,196,113.896223
-33.708991,400,114.017417
223.732217,625,114.1952
228.432275,471,114.334117
44.276938,1000,114.644473
-228.651007,789,114.859263
123.03476,906,115.130716
-0.906393,1000,115.429428
27.720362,185,115.484059
-129.658637,559,115.635612
-74.001734,175,115.681623
3.917853,177,115.728616
-69.125728,267,115.812469
-193.89527,715,116.012327
2.552062,183,116.062791
19.984277,192,116.118904
284.284363,309,116.208455
-203.039543,732,116.422809
49.72762,1000,116.70434
14.940344,197,116.768294
-110.73225,285,116.847729
-155.624025,440,116.966088
-175.722948,398,117.081023
-101.079317,140,117.127411
210.890475,312,117.222332
-85.450747,209,117.279015
-194.228867,482,117.423857
-111.85553,198,117.482822
-131.877981,238,117.548079
-77.797396,303,117.630167
-211.253564,823,117.860339
222.353206,282,117.950753
256.976372,386,118.067313
-103.343574,121,118.1014
-112.647932,227,118.169194
-160.355382,701,118.365776
123.563613,1000,118.676661
-148.617598,571,118.840094
291.505564,380,118.950439
203.037604,463,119.079643
-180.237367,535,119.233099
-157.672493,446,119.357126
3.337401,188,119.418976
-80.795131,197,119.478605
-122.214933,459,119.606152
-95.251409,237,119.669409
-145.104872,420,119.788403
-209.591441,805,120.010599
-162.197692,486,120.155011
217.821335,383,120.260675
6.090644,188,120.313019
-77.889709,203,120.371857
223.021921,488,120.536869
-147.196766,438,120.655371
-131.446386,307,120.741045
-117.109727,258,120.812045
17.674626,197,120.870761
-156.729786,507,121.012031
-220.310562,521,121.168845
8.079394,180,121.221663
-117.430795,429,121.348062
-1.781404,186,121.40211
-187.376075,576,121.564814
238.216511,627,121.741173
-69.073761,157,121.785288
-144.482528,325,121.872273
-170.881225,450,121.995485
